v_alpha, I_out_I
0.938000, -4.414132
0.939000, -4.423514
0.940000, -4.432906
0.941000, -4.442307
0.942000, -4.451719
0.943000, -4.461140
0.944000, -4.470571
0.945000, -4.480012
0.946000, -4.489463
0.947000, -4.498924
0.948000, -4.508395
0.949000, -4.517875
0.950000, -4.527365
0.951000, -4.536865
0.952000, -4.546375
0.953000, -4.555895
0.954000, -4.565425
0.955000, -4.574964
0.956000, -4.584513
0.957000, -4.594073
0.958000, -4.603642
0.959000, -4.613220
0.960000, -4.622809
0.961000, -4.632408
0.962000, -4.642016
0.963000, -4.651634
0.964000, -4.661262
0.965000, -4.670900
0.966000, -4.680548
0.967000, -4.690205
0.968000, -4.699872
0.969000, -4.709550
0.970000, -4.719237
0.971000, -4.728934
0.972000, -4.738640
0.973000, -4.748357
0.974000, -4.758083
0.975000, -4.767819
0.976000, -4.777565
0.977000, -4.787321
0.978000, -4.797087
0.979000, -4.806862
0.980000, -4.816648
0.981000, -4.826443
0.982000, -4.836248
0.983000, -4.846063
0.984000, -4.855887
0.985000, -4.865722
0.986000, -4.875566
0.987000, -4.885420
0.988000, -4.895284
0.989000, -4.905158
0.990000, -4.915041
0.991000, -4.924935
0.992000, -4.934838
0.993000, -4.944751
0.994000, -4.954674
0.995000, -4.964607
0.996000, -4.974549
0.997000, -4.984502
0.998000, -4.994464
0.999000, -5.004436
1.000000, -5.014418
1.001000, -5.024409
1.002000, -5.034411
1.003000, -5.044422
1.004000, -5.054443
1.005000, -5.064474
1.006000, -5.074515
1.007000, -5.084565
1.008000, -5.094625
1.009000, -5.104696
1.010000, -5.114776
1.011000, -5.124865
1.012000, -5.134965
1.013000, -5.145074
1.014000, -5.155194
1.015000, -5.165323
1.016000, -5.175461
1.017000, -5.185610
1.018000, -5.195769
1.019000, -5.205937
1.020000, -5.216115
1.021000, -5.226303
1.022000, -5.236501
1.023000, -5.246708
1.024000, -5.256925
1.025000, -5.267152
1.026000, -5.277389
1.027000, -5.287636
1.028000, -5.297893
1.029000, -5.308159
1.030000, -5.318435
1.031000, -5.328721
1.032000, -5.339017
1.033000, -5.349322
1.034000, -5.359638
1.035000, -5.369963
1.036000, -5.380298
1.037000, -5.390643
1.038000, -5.400997
1.039000, -5.411361
1.040000, -5.421736
1.041000, -5.432120
1.042000, -5.442513
1.043000, -5.452917
1.044000, -5.463330
1.045000, -5.473753
1.046000, -5.484186
1.047000, -5.494629
1.048000, -5.505081
1.049000, -5.515544
1.050000, -5.526016
1.051000, -5.536498
1.052000, -5.546990
1.053000, -5.557491
1.054000, -5.568002
1.055000, -5.578523
1.056000, -5.589054
1.057000, -5.599595
1.058000, -5.610145
1.059000, -5.620705
1.060000, -5.631276
1.061000, -5.641855
1.062000, -5.652445
1.063000, -5.663044
1.064000, -5.673653
1.065000, -5.684272
1.066000, -5.694901
1.067000, -5.705540
1.068000, -5.716188
1.069000, -5.726846
1.070000, -5.737514
1.071000, -5.748191
1.072000, -5.758879
1.073000, -5.769576
1.074000, -5.780283
1.075000, -5.791000
1.076000, -5.801726
1.077000, -5.812463
1.078000, -5.823209
1.079000, -5.833965
1.080000, -5.844730
1.081000, -5.855506
1.082000, -5.866291
1.083000, -5.877086
1.084000, -5.887891
1.085000, -5.898705
1.086000, -5.909530
1.087000, -5.920364
1.088000, -5.931208
1.089000, -5.942061
1.090000, -5.952925
1.091000, -5.963798
1.092000, -5.974681
1.093000, -5.985573
1.094000, -5.996476
1.095000, -6.007388
1.096000, -6.018310
1.097000, -6.029242
1.098000, -6.040184
1.099000, -6.051135
1.100000, -6.062096
1.101000, -6.073067
1.102000, -6.084047
1.103000, -6.095038
1.104000, -6.106038
1.105000, -6.117048
1.106000, -6.128068
1.107000, -6.139097
1.108000, -6.150136
1.109000, -6.161185
1.110000, -6.172244
1.111000, -6.183312
1.112000, -6.194391
1.113000, -6.205479
1.114000, -6.216576
1.115000, -6.227684
1.116000, -6.238801
1.117000, -6.249928
1.118000, -6.261065
